"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"peito pascoal","6 Apr 2026, 17:18","6 Apr 2026, 18:03","","Single Arm Lateral Raise (Cable)",,"",2,"normal",12,10,,,
"peito pascoal","6 Apr 2026, 17:18","6 Apr 2026, 18:03","","Single Arm Lateral Raise (Cable)",,"",3,"normal",12,10,,,
"peito pascoal","6 Apr 2026, 17:18","6 Apr 2026, 18:03","","Single Arm Lateral Raise (Cable)",,"",4,"normal",10,9,,,
"peito pascoal","6 Apr 2026, 17:18","6 Apr 2026, 18:03","","Single Arm Lateral Raise (Cable)",,"",5,"normal",10,9,,,
"peito pascoal","6 Apr 2026, 17:18","6 Apr 2026, 18:03","","Triceps Pushdown",,"",0,"normal",40,12,,,
"peito pascoal","6 Apr 2026, 17:18","6 Apr 2026, 18:03","","Triceps Pushdown",,"",1,"normal",40,12,,,
"peito pascoal","6 Apr 2026, 17:18","6 Apr 2026, 18:03","","Triceps Pushdown",,"",2,"normal",40,12,,,
"peito pascoal","6 Apr 2026, 17:18","6 Apr 2026, 18:03","","Triceps Pushdown",,"",3,"normal",35,10,,,
"mudu leg","3 Apr 2026, 16:41","3 Apr 2026, 17:39","","Leg Press Horizontal (Machine)",,"",0,"warmup",25,15,,,
"mudu leg","3 Apr 2026, 16:41","3 Apr 2026, 17:39","","Leg Press Horizontal (Machine)",,"",1,"normal",35,12,,,
"mudu leg","3 Apr 2026, 16:41","3 Apr 2026, 17:39","","Leg Press Horizontal (Machine)",,"",2,"normal",45,12,,,
"mudu leg","3 Apr 2026, 16:41","3 Apr 2026, 17:39","","Squat (Smith Machine)",,"",0,"normal",60,8,,,
"mudu leg","3 Apr 2026, 16:41","3 Apr 2026, 17:39","","Squat (Smith Machine)",,"",1,"normal",60,8,,,
"mudu leg","3 Apr 2026, 16:41","3 Apr 2026, 17:39","","Squat (Smith Machine)",,"",2,"normal",50,6,,,
"mudu leg","3 Apr 2026, 16:41","3 Apr 2026, 17:39","","Leg Extension (Machine)",,"",0,"normal",60,12,,,
"mudu leg","3 Apr 2026, 16:41","3 Apr 2026, 17:39","","Leg Extension (Machine)",,"",1,"normal",60,12,,,
"mudu leg","3 Apr 2026, 16:41","3 Apr 2026, 17:39","","Leg Extension (Machine)",,"",2,"normal",60,12,,,
"mudu leg","3 Apr 2026, 16:41","3 Apr 2026, 17:39","","Seated Leg Curl (Machine)",,"acho q da pra aumentar na prox",0,"normal",65,15,,,
"mudu leg","3 Apr 2026, 16:41","3 Apr 2026, 17:39","","Seated Leg Curl (Machine)",,"acho q da pra aumentar na prox",1,"normal",70,12,,,
"mudu leg","3 Apr 2026, 16:41","3 Apr 2026, 17:39","","Seated Leg Curl (Machine)",,"acho q da pra aumentar na prox",2,"normal",70,12,,,
"BACK to the future","1 Apr 2026, 16:49","1 Apr 2026, 17:43","morri pprt","Pull Up",,"closed grip\n\nue agr ta contando o pull up como volume antes nao tava",0,"normal",,6,,,
"BACK to the future","1 Apr 2026, 16:49","1 Apr 2026, 17:43","morri pprt","Pull Up",,"closed grip\n\nue agr ta contando o pull up como volume antes nao tava",1,"normal",,5,,,
"BACK to the future","1 Apr 2026, 16:49","1 Apr 2026, 17:43","morri pprt","Pull Up",,"closed grip\n\nue agr ta contando o pull up como volume antes nao tava",2,"normal",,5,,,
"BACK to the future","1 Apr 2026, 16:49","1 Apr 2026, 17:43","morri pprt","Single Arm Lat Pulldown",,"tirei os 5 pq nao comecei com ele mas dava pra fzr com 40 se for o primeiro",0,"normal",35,12,,,
"BACK to the future","1 Apr 2026, 16:49","1 Apr 2026, 17:43","morri pprt","Single Arm Lat Pulldown",,"tirei os 5 pq nao comecei com ele mas dava pra fzr com 40 se for o primeiro",1,"normal",35,12,,,
"BACK to the future","1 Apr 2026, 16:49","1 Apr 2026, 17:43","morri pprt","Single Arm Lat Pulldown",,"tirei os 5 pq nao comecei com ele mas dava pra fzr com 40 se for o primeiro",2,"normal",35,12,,,
"BACK to the future","1 Apr 2026, 16:49","1 Apr 2026, 17:43","morri pprt","Single Arm Lat Pulldown",,"tirei os 5 pq nao comecei com ele mas dava pra fzr com 40 se for o primeiro",3,"normal",35,12,,,
"BACK to the future","1 Apr 2026, 16:49","1 Apr 2026, 17:43","morri pprt","Single Arm Lat Pulldown",,"tirei os 5 pq nao comecei com ele mas dava pra fzr com 40 se for o primeiro",4,"normal",35,12,,,
"BACK to the future","1 Apr 2026, 16:49","1 Apr 2026, 17:43","morri pprt","Single Arm Lat Pulldown",,"tirei os 5 pq nao comecei com ele mas dava pra fzr com 40 se for o primeiro",5,"normal",35,12,,,
"BACK to the future","1 Apr 2026, 16:49","1 Apr 2026, 17:43","morri pprt","Seated Cable Row - Bar Wide Grip",,"morri",0,"normal",35,12,,,
"BACK to the future","1 Apr 2026, 16:49","1 Apr 2026, 17:43","morri pprt","Seated Cable Row - Bar Wide Grip",,"morri",1,"normal",35,10,,,
"BACK to the future","1 Apr 2026, 16:49","1 Apr 2026, 17:43","morri pprt","Bicep Curl (Dumbbell)",,"",0,"normal",18,12,,,
"BACK to the future","1 Apr 2026, 16:49","1 Apr 2026, 17:43","morri pprt","Bicep Curl (Dumbbell)",,"",1,"normal",18,12,,,
"BACK to the future","1 Apr 2026, 16:49","1 Apr 2026, 17:43","morri pprt","Bicep Curl (Dumbbell)",,"",2,"normal",20,12,,,
"BACK to the future","1 Apr 2026, 16:49","1 Apr 2026, 17:43","morri pprt","Bicep Curl (Dumbbell)",,"",3,"normal",20,12,,,
"BACK to the future","1 Apr 2026, 16:49","1 Apr 2026, 17:43","morri pprt","Back Extension (Weighted Hyperextension)",,"",0,"normal",,12,,,
"push sem piedade","23 Mar 2026, 17:29","23 Mar 2026, 18:15","me sentindo gostoso","Incline Bench Press (Dumbbell)",,"continuo sentindo o cotovelo no ultimo set :/",0,"warmup",24,15,,,
"push sem piedade","23 Mar 2026, 17:29","23 Mar 2026, 18:15","me sentindo gostoso","Incline Bench Press (Dumbbell)",,"continuo sentindo o cotovelo no ultimo set :/",1,"normal",32,12,,,
"push sem piedade","23 Mar 2026, 17:29","23 Mar 2026, 18:15","me sentindo gostoso","Incline Bench Press (Dumbbell)",,"continuo sentindo o cotovelo no ultimo set :/",2,"normal",32,12,,,
"push sem piedade","23 Mar 2026, 17:29","23 Mar 2026, 18:15","me sentindo gostoso","Incline Bench Press (Dumbbell)",,"continuo sentindo o cotovelo no ultimo set :/",3,"normal",32,9,,,
"push sem piedade","23 Mar 2026, 17:29","23 Mar 2026, 18:15","me sentindo gostoso","Lateral Raise (Dumbbell)",,"",0,"normal",16,12,,,
"push sem piedade","23 Mar 2026, 17:29","23 Mar 2026, 18:15","me sentindo gostoso","Lateral Raise (Dumbbell)",,"",1,"normal",16,12,,,
"push sem piedade","23 Mar 2026, 17:29","23 Mar 2026, 18:15","me sentindo gostoso","Lateral Raise (Dumbbell)",,"",2,"normal",16,12,,,
"push sem piedade","23 Mar 2026, 17:29","23 Mar 2026, 18:15","me sentindo gostoso","Chest Fly (Machine)",,"40kgs x 12 nas passadas (fui burrao e coloquei a maquina errada 🤦🏻‍♂️)",0,"normal",52.5,12,,,
"push sem piedade","23 Mar 2026, 17:29","23 Mar 2026, 18:15","me sentindo gostoso","Chest Fly (Machine)",,"40kgs x 12 nas passadas (fui burrao e coloquei a maquina errada 🤦🏻‍♂️)",1,"normal",52.5,12,,,
"push sem piedade","23 Mar 2026, 17:29","23 Mar 2026, 18:15","me sentindo gostoso","Chest Fly (Machine)",,"40kgs x 12 nas passadas (fui burrao e coloquei a maquina errada 🤦🏻‍♂️)",2,"normal",52.5,10,,,
"push sem piedade","23 Mar 2026, 17:29","23 Mar 2026, 18:15","me sentindo gostoso","Rear Delt Reverse Fly (Machine)",,"dava pra ir mais hein",0,"normal",20,15,,,
"push sem piedade","23 Mar 2026, 17:29","23 Mar 2026, 18:15","me sentindo gostoso","Rear Delt Reverse Fly (Machine)",,"dava pra ir mais hein",1,"normal",20,15,,,
"push sem piedade","23 Mar 2026, 17:29","23 Mar 2026, 18:15","me sentindo gostoso","Rear Delt Reverse Fly (Machine)",,"dava pra ir mais hein",2,"normal",25,12,,,
"push sem piedade","23 Mar 2026, 17:29","23 Mar 2026, 18:15","me sentindo gostoso","Triceps Pushdown",,"",0,"normal",35,15,,,
"push sem piedade","23 Mar 2026, 17:29","23 Mar 2026, 18:15","me sentindo gostoso","Triceps Pushdown",,"",1,"normal",45,8,,,
"push sem piedade","23 Mar 2026, 17:29","23 Mar 2026, 18:15","me sentindo gostoso","Triceps Pushdown",,"",2,"normal",45,8,,,
"lore is BACK (DAY)","19 Mar 2026, 20:34","19 Mar 2026, 21:29","esqueci da foto la ent faltou murilo","Single Arm Lat Pulldown",,"primeira vez fazendo\naprovadissimo ✅",0,"warmup",15,15,,,
"lore is BACK (DAY)","19 Mar 2026, 20:34","19 Mar 2026, 21:29","esqueci da foto la ent faltou murilo","Single Arm Lat Pulldown",,"primeira vez fazendo\naprovadissimo ✅",1,"warmup",15,15,,,
"lore is BACK (DAY)","19 Mar 2026, 20:34","19 Mar 2026, 21:29","esqueci da foto la ent faltou murilo","Single Arm Lat Pulldown",,"primeira vez fazendo\naprovadissimo ✅",2,"normal",35,12,,,
"lore is BACK (DAY)","19 Mar 2026, 20:34","19 Mar 2026, 21:29","esqueci da foto la ent faltou murilo","Single Arm Lat Pulldown",,"primeira vez fazendo\naprovadissimo ✅",3,"normal",35,12,,,
"lore is BACK (DAY)","19 Mar 2026, 20:34","19 Mar 2026, 21:29","esqueci da foto la ent faltou murilo","Single Arm Lat Pulldown",,"primeira vez fazendo\naprovadissimo ✅",4,"normal",40,12,,,
"lore is BACK (DAY)","19 Mar 2026, 20:34","19 Mar 2026, 21:29","esqueci da foto la ent faltou murilo","Single Arm Lat Pulldown",,"primeira vez fazendo\naprovadissimo ✅",5,"normal",40,12,,,
"lore is BACK (DAY)","19 Mar 2026, 20:34","19 Mar 2026, 21:29","esqueci da foto la ent faltou murilo","Single Arm Lat Pulldown",,"primeira vez fazendo\naprovadissimo ✅",6,"normal",40,12,,,
"lore is BACK (DAY)","19 Mar 2026, 20:34","19 Mar 2026, 21:29","esqueci da foto la ent faltou murilo","Single Arm Lat Pulldown",,"primeira vez fazendo\naprovadissimo ✅",7,"normal",40,12,,,
"lore is BACK (DAY)","19 Mar 2026, 20:34","19 Mar 2026, 21:29","esqueci da foto la ent faltou murilo","Pull Up",,"achei q iam mais kkkkk\nclosed grip",0,"normal",,4,,,
